type,username,registerpassword,fullname,callerid,registername,vmsecret,hasvoicemail,enablevmtoemail,email,callwaiting,hasmanager,ringtimeout,enablemobile,mobile,spymode,allowbeingspy,maxduration,dnd,alwaysforward,atransferto,atransfernum,noanswerforward,ntransferto,ntransfernum,busyforward,btransferto,btransfernum,busycallback,loginpassword,viewautorecords,ardeletelimits,ardownloadlimits,viewarnumbers,arallowextensions,viewcdr,cdrdeletelimits,cdrdownloadlimits,cdrviewnumbers,cdrallowextensions,telephone,dept,job,ringsimultaneous,linkusversion,wechatid,apploginname,firstringtimeout,nat,dtmfmode,enableiprestrict,permitip,permitmask,transport,enablesrtp,qualify,remoteregister,dahdichannel,rxflash,minrxflash,pbxport,rxgain,txgain,enablefax,sendcallerid,enablehotline,hotlinenumber,delaydial,language,atransferext,atransferprefix,ntransferext,ntransferprefix,btransferext,btransferprefix,mobileprefix,rxvolume,txvolume,echocancel,wechat,maxregistrations
SIP,1000,Yeastar202,1000,1000,1000,1000,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
"SIP,FXS",1001,Yeastar202,1001,1001,1001,1001,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,3-1,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1100,Yeastar202,1100,1100,1100,1100,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1101,Yeastar202,1101,1101,1101,1101,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1102,Yeastar202,1102,1102,1102,1102,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1103,Yeastar202,1103,1103,1103,1103,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1104,Yeastar202,1104,1104,1104,1104,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1105,Yeastar202,1105,1105,1105,1105,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1106,Yeastar202,1106,1106,1106,1106,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1107,Yeastar202,1107,1107,1107,1107,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1108,Yeastar202,1108,1108,1108,1108,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
SIP,1109,Yeastar202,1109,1109,1109,1109,yes,no,,no,yes,30,no,,none,no,-1,no,no,voicemail,,yes,voicemail,,yes,voicemail,,no,2d7257a528679d01a19c70e3fa773620,no,no,no,,,no,no,no,,,,,,no,1,,,20,no,rfc4733,no,,,udp,no,yes,yes,,1000,300,,,,no,default,no,,2,default,,,,,,,,0,0,yes,,1
